ID,NAME,LAT,LON,FEDERAL_STATE,ADRESS,LINK,FREE/NOT FREE,LOCATION TYPE,INDOOR/OUTDOOR,ALL AUSTRIAN GROUPEMATCHES
117,Seebühne Mörbisch,47.7539922,16.69825007,BURGENLAND,"Seebühne 1, 7072 Mörbisch am See",,NOT FREE,EVENT VENUE,OUTDOOR,NO
118,Shebeen,48.2066,16.3491,WIEN,"Lerchenfelder Str. 45, 1070 Wien",https://www.shebeen.at/,FREE,BAR,OUTDOOR,NO
119,Single Oak Café | Bar,47.79750599,13.04959223,SALZBURG,"Krotachgasse 7, 5020 Salzburg",,NOT FREE,BAR,INDOOR,NO
120,Spannrahmen Hard,47.4864,9.6935,VORARLBERG,"Hofsteigstraße 107e, 6971 Hard",https://www.oeticket.com/eventseries/public-viewing-wm-2026-4128691/,NOT FREE,EVENT VENUE,INDOOR,YES
121,Sparkys,48.2091,16.3711,WIEN,"Goldschmiedgasse 8, 1010 Wien",https://www.sparkys.at,NOT FREE,RESTAURANT,INDOOR,NO
122,SPG Lechtal,47.38482717,10.55902368,TIROL,"Am Sportplatz 5, 6642 Stanzach",,FREE,EVENT VENUE,OUTDOOR,NO
123,Sporthotel Krz,47.50039209,16.4994022,BURGENLAND,"Stadiongasse 16, 7350 Oberpullendorf",,NOT FREE,RESTAURANT,INDOOR,NO
124,Sportplatz Weitersfeld,48.78451136,15.81104944,NIEDEROESTERREICH,"Weitersfeld 376, 2084 Weitersfeld",,FREE,EVENT VENUE,OUTDOOR,NO
125,SportsBar – Das Eggenberg & LONGIN GRAWE Klub 1909,47.0457,15.4557,STEIERMARK,"Stadionplatz 1, 8041 Graz",https://sksturm.at/n/wm-public-viewing,NOT FREE,BAR,INDOOR,NO
126,Sportsbar Das Eggenberg,47.04428018,15.45603536,STEIERMARK,"Zoisweg 21, 8010 Graz",,NOT FREE,BAR,INDOOR,NO
127,Sportunion Sonnberg im Mühlkreis,48.45779831,14.2990327,OBEROESTERREICH,"Sonnberg 94, 4202 Sonnberg",,FREE,EVENT VENUE,OUTDOOR,NO
128,Sportzentrum Mistelbach,48.56303768,16.57060877,NIEDEROESTERREICH,"Zum Sportzentrum, 2130 Mistelbach",,FREE,EVENT VENUE,OUTDOOR,NO
129,s'Schneckal,48.01386868,16.29459383,NIEDEROESTERREICH,"Hauptplatz 19, 2514 Traiskirchen",,NOT FREE,BAR,INDOOR,NO
130,Stadion Hollabrunn,48.55772189,16.07510494,NIEDEROESTERREICH,"Aumühlgasse 8, 2020 Hollabrunn",,FREE,EVENT VENUE,OUTDOOR,NO
131,Stadtboden,48.2040,16.3713,WIEN,"Krugerstraße 8, 1010 Wien",www.stadtboden.at ,NOT FREE,RESTAURANT,INDOOR,YES
